# The data in this file represent the relationship between the GOES long (1-8 angstroms) flux and the isothermal temperature of the solar soft X-ray-emitting plasma assuming coronal abundances as modelled by CHIANTI.
# The data in this file were obtained by copying and pasting from the SSW routine goes_get_chianti_em.pro on 2014-04-18.
#
log10temp_MK;longfluxGOES1;longfluxGOES2;longfluxGOES3;longfluxGOES4;longfluxGOES5;longfluxGOES6;longfluxGOES7;longfluxGOES8;longfluxGOES9;longfluxGOES10;longfluxGOES11;longfluxGOES12;longfluxGOES13;longfluxGOES14;longfluxGOES15
1.76;6.88e+01;7.07e+01;7.07e+01;6.17e+01;5.81e+01;5.41e+01;6.63e+01;6.41e+01;6.39e+01;6.58e+01;6.48e+01;6.49e+01;6.48e+01;6.48e+01;6.42e+01
1.78;7.03e+01;7.22e+01;7.22e+01;6.30e+01;5.94e+01;5.53e+01;6.77e+01;6.54e+01;6.52e+01;6.72e+01;6.62e+01;6.63e+01;6.62e+01;6.62e+01;6.56e+01
1.8;7.17e+01;7.37e+01;7.37e+01;6.43e+01;6.06e+01;5.63e+01;6.90e+01;6.67e+01;6.65e+01;6.85e+01;6.75e+01;6.76e+01;6.75e+01;6.75e+01;6.69e+01
1.8200000000000001;7.30e+01;7.50e+01;7.50e+01;6.55e+01;6.17e+01;5.74e+01;7.03e+01;6.79e+01;6.77e+01;6.98e+01;6.87e+01;6.89e+01;6.87e+01;6.87e+01;6.81e+01
1.8400000000000001;7.42e+01;7.63e+01;7.63e+01;6.66e+01;6.27e+01;5.83e+01;7.15e+01;6.90e+01;6.88e+01;7.10e+01;6.99e+01;7.00e+01;6.99e+01;6.99e+01;6.92e+01
1.8600000000000001;7.54e+01;7.75e+01;7.75e+01;6.76e+01;6.37e+01;5.92e+01;7.27e+01;7.01e+01;6.98e+01;7.21e+01;7.10e+01;7.11e+01;7.09e+01;7.09e+01;7.03e+01
1.8800000000000001;7.64e+01;7.86e+01;7.86e+01;6.86e+01;6.46e+01;6.01e+01;7.37e+01;7.11e+01;7.08e+01;7.31e+01;7.20e+01;7.21e+01;7.19e+01;7.19e+01;7.12e+01
1.9000000000000001;7.74e+01;7.96e+01;7.96e+01;6.94e+01;6.54e+01;6.08e+01;7.47e+01;7.20e+01;7.17e+01;7.40e+01;7.29e+01;7.30e+01;7.29e+01;7.29e+01;7.21e+01
1.9199999999999999;7.83e+01;8.05e+01;8.05e+01;7.02e+01;6.62e+01;6.15e+01;7.55e+01;7.28e+01;7.25e+01;7.49e+01;7.37e+01;7.39e+01;7.37e+01;7.37e+01;7.30e+01
1.9399999999999999;7.91e+01;8.13e+01;8.13e+01;7.10e+01;6.69e+01;6.22e+01;7.63e+01;7.35e+01;7.32e+01;7.57e+01;7.45e+01;7.46e+01;7.45e+01;7.45e+01;7.37e+01
1.96;7.99e+01;8.21e+01;8.21e+01;7.16e+01;6.75e+01;6.27e+01;7.70e+01;7.42e+01;7.39e+01;7.64e+01;7.52e+01;7.53e+01;7.51e+01;7.51e+01;7.44e+01
1.98;8.05e+01;8.27e+01;8.27e+01;7.22e+01;6.80e+01;6.32e+01;7.77e+01;7.48e+01;7.45e+01;7.70e+01;7.58e+01;7.59e+01;7.57e+01;7.57e+01;7.50e+01
2.0;8.11e+01;8.33e+01;8.33e+01;7.27e+01;6.85e+01;6.37e+01;7.82e+01;7.53e+01;7.50e+01;7.76e+01;7.63e+01;7.65e+01;7.63e+01;7.63e+01;7.55e+01
